Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
22:40:56 Mar 06 2025,93,79,1,0,0
22:41:00 Mar 06 2025,93,78,1,0,0
22:41:04 Mar 06 2025,95,75,1,0,0
22:41:08 Mar 06 2025,96,75,1,0,0
22:41:12 Mar 06 2025,95,75,1,0,0
22:41:16 Mar 06 2025,94,74,1,0,0
22:41:20 Mar 06 2025,94,74,1,0,0
22:41:24 Mar 06 2025,94,75,0,0,0
22:41:28 Mar 06 2025,93,74,1,0,0
22:41:32 Mar 06 2025,93,74,1,0,0
22:41:36 Mar 06 2025,92,75,1,0,0
22:41:40 Mar 06 2025,92,75,0,0,0
22:41:44 Mar 06 2025,92,74,1,0,0
22:41:48 Mar 06 2025,92,75,1,0,0
22:41:52 Mar 06 2025,92,77,1,0,0
22:41:56 Mar 06 2025,94,76,1,0,0
22:42:00 Mar 06 2025,95,75,1,0,0
22:42:04 Mar 06 2025,95,75,1,0,0
22:42:08 Mar 06 2025,94,76,1,0,0
22:42:12 Mar 06 2025,94,76,1,0,0
22:42:16 Mar 06 2025,95,74,0,0,0
22:42:20 Mar 06 2025,95,74,1,0,0
22:42:24 Mar 06 2025,94,74,1,0,0
22:42:28 Mar 06 2025,94,74,1,0,0
22:42:32 Mar 06 2025,93,74,1,0,0
22:42:36 Mar 06 2025,93,74,1,0,0
22:42:40 Mar 06 2025,92,75,1,0,0
22:42:44 Mar 06 2025,93,74,1,0,0
22:42:48 Mar 06 2025,92,75,1,0,0
22:42:52 Mar 06 2025,93,78,1,0,0
22:42:56 Mar 06 2025,93,77,1,0,0
22:43:00 Mar 06 2025,95,73,1,0,0
22:43:04 Mar 06 2025,95,72,1,0,0
22:43:08 Mar 06 2025,95,73,0,0,0
22:43:12 Mar 06 2025,94,73,1,0,0
22:43:16 Mar 06 2025,93,74,1,0,0
22:43:20 Mar 06 2025,93,73,1,0,0
22:43:24 Mar 06 2025,93,74,1,0,0
22:43:28 Mar 06 2025,93,75,1,0,0
22:43:32 Mar 06 2025,93,76,1,0,0
22:43:36 Mar 06 2025,93,75,1,0,0
22:43:40 Mar 06 2025,93,75,1,0,0
